EXERCISE,CALL_BID x CALL_ASK,CALL_VOLUMEN,CALL_INTERES_ABIERTO,CALL_DELTA,CALL_GAMMA,CALL_VEGA,CALL_THETA,PUT_BID x PUT_ASK,PUT_VOLUMEN,PUT_INTERES_ABIERTO,PUT_DELTA,PUT_GAMMA,PUT_VEGA,PUT_THETA
350,341.98 x 344.48,,10,1.000,0.000,0.000,-0.047,x 0.01,2,14100,0.000,0.000,0.000,0.000
355,336.98 x 339.45,,60,1.000,0.000,0.000,-0.048,x 0.01,,4780,0.000,0.000,0.000,0.000
360,331.98 x 334.44,,81,1.000,0.000,0.000,-0.049,x 0.01,,4700,0.000,0.000,0.000,-0.001
365,326.95 x 328.55,2,,1.000,0.000,0.000,-0.049,x 0.01,,5450,0.000,0.000,0.000,-0.001
370,321.92 x 324.48,,4,1.000,0.000,0.000,-0.050,x 0.01,,1730,0.000,0.000,0.000,-0.001
375,317.01 x 319.51,,9,1.000,0.000,0.000,-0.051,x 0.01,,4080,0.000,0.000,0.000,-0.001
380,312.01 x 314.48,, ,1.000,0.000,0.000,-0.052,x 0.01,,3380,0.000,0.000,0.000,-0.001
385,307.01 x 309.48,, ,1.000,0.000,0.000,-0.052,x 0.01,,3100,0.000,0.000,0.000,-0.001
390,301.95 x 304.54,,2,1.000,0.000,0.000,-0.053,x 0.01,,5340,0.000,0.000,0.000,-0.001
395,296.98 x 299.51,, ,1.000,0.000,0.001,-0.054,x 0.01,,14500,0.000,0.000,0.001,-0.001
400,293.09 x 293.23,38,133,1.000,0.000,0.001,-0.055,x 0.01,102,16000,0.000,0.000,0.001,-0.002
405,286.98 x 289.51,,1,1.000,0.000,0.001,-0.055,x 0.01,51,3460,0.000,0.000,0.001,-0.002
410,281.92 x 284.56,,16,1.000,0.000,0.001,-0.056,x 0.01,,5870,0.000,0.000,0.001,-0.002
415,276.98 x 279.57,,1,1.000,0.000,0.001,-0.057,x 0.01,1,1750,0.000,0.000,0.001,-0.003
420,272.01 x 274.52,8,31,1.000,0.000,0.001,-0.058,x 0.01,,25000,0.000,0.000,0.001,-0.003
425,267.01 x 269.58,,9,1.000,0.000,0.001,-0.059,x 0.01,102,5170,0.000,0.000,0.001,-0.003
430,262.01 x 264.59,,6,1.000,0.000,0.001,-0.060,x 0.01,1,3840,0.000,0.000,0.001,-0.004
435,256.79 x 259.60,,2,1.000,0.000,0.001,-0.061,x 0.01,51,4230,0.000,0.000,0.001,-0.004
440,252.10 x 254.55,,1,1.000,0.000,0.001,-0.062,x 0.01,4,15800,0.000,0.000,0.001,-0.004
